거주지명,비율(%)
서울특별시 강동구,16.75
서울특별시 송파구,11.268
경기도 남양주시,8.265
경기도 광주시,4.536
경기도 성남시 수정구,3.327
서울특별시 강남구,3.018
서울특별시 광진구,2.795
경기도 구리시,2.428
경기도 양평군,2.109
서울특별시 중랑구,1.881
경기도 성남시 분당구,1.803
서울특별시 노원구,1.633
경기도 성남시 중원구,1.425
서울특별시 성동구,1.421
서울특별시 동대문구,1.324
서울특별시 서초구,1.32
경기도 의정부시,1.198
서울특별시 성북구,1.058
경기도 화성시,0.914
서울특별시 관악구,0.876
경기도 용인시 기흥구,0.868
경기도 용인시 수지구,0.777
서울특별시 동작구,0.775
경기도 부천시,0.724
서울특별시 강서구,0.719
서울특별시 도봉구,0.684
경기도 이천시,0.672
서울특별시 강북구,0.638
서울특별시 은평구,0.63
서울특별시 영등포구,0.625
서울특별시 마포구,0.618
경기도 고양시 덕양구,0.576
경기도 용인시 처인구,0.556
서울특별시 용산구,0.555
서울특별시 서대문구,0.509
경기도 안양시 동안구,0.497
경기도 양주시,0.496
서울특별시 구로구,0.478
경기도 김포시,0.477
강원특별자치도 춘천시,0.476
경기도 수원시 영통구,0.467
강원특별자치도 원주시,0.453
서울특별시 양천구,0.438
경기도 파주시,0.438
경기도 시흥시,0.437
경기도 평택시,0.418
인천광역시 서구,0.413
경기도 수원시 권선구,0.401
서울특별시 중구,0.399
경기도 고양시 일산동구,0.397
경기도 군포시,0.377
경기도 안산시 상록구,0.357
경기도 포천시,0.356
경기도 가평군,0.352
인천광역시 남동구,0.339
경기도 여주시,0.335
서울특별시 종로구,0.331
경기도 수원시 장안구,0.327
인천광역시 부평구,0.32
경기도 안산시 단원구,0.311
경기도 고양시 일산서구,0.307
경기도 광명시,0.295
인천광역시 연수구,0.287
서울특별시 금천구,0.283
경기도 안양시 만안구,0.282
경기도 의왕시,0.248
충청북도 충주시,0.236
경기도 수원시 팔달구,0.235
경기도 오산시,0.224
인천광역시 미추홀구,0.21
경기도 안성시,0.2
인천광역시 계양구,0.198
충청북도 음성군,0.198
대전광역시 유성구,0.186
세종특별자치시,0.185
충청남도 천안시 서북구,0.17
대전광역시 서구,0.166
강원특별자치도 강릉시,0.159
제주특별자치도 제주시,0.159
충청남도 아산시,0.158
강원특별자치도 홍천군,0.158
경기도 과천시,0.156
경기도 동두천시,0.143
충청북도 청주시 흥덕구,0.141
충청북도 청주시 청원구,0.135
충청남도 천안시 동남구,0.134
인천광역시 중구,0.124
충청북도 제천시,0.103
충청북도 청주시 서원구,0.096
충청북도 진천군,0.093
강원특별자치도 속초시,0.091
충청남도 당진시,0.09
제주특별자치도 서귀포시,0.086
대구광역시 달서구,0.085
충청남도 서산시,0.082
대구광역시 수성구,0.079
경상북도 구미시,0.079
전북특별자치도 전주시 완산구,0.078
대구광역시 북구,0.078
광주광역시 북구,0.077
전북특별자치도 익산시,0.077
광주광역시 광산구,0.074
대전광역시 동구,0.073
충청북도 청주시 상당구,0.07
전북특별자치도 전주시 덕진구,0.069
대구광역시 동구,0.068
경상북도 안동시,0.068
전북특별자치도 군산시,0.068
부산광역시 해운대구,0.068
경상남도 진주시,0.064
경상남도 김해시,0.064
대전광역시 대덕구,0.063
대전광역시 중구,0.062
강원특별자치도 평창군,0.062
강원특별자치도 인제군,0.06
강원특별자치도 횡성군,0.058
광주광역시 서구,0.057
경기도 연천군,0.057
강원특별자치도 철원군,0.055
경상북도 경주시,0.053
경상북도 경산시,0.052
경상북도 포항시 북구,0.051
경상북도 영주시,0.051
강원특별자치도 동해시,0.046
경상북도 포항시 남구,0.046
강원특별자치도 삼척시,0.045
경상남도 거제시,0.044
대구광역시 달성군,0.043
울산광역시 남구,0.043
전라남도 목포시,0.043
전라남도 여수시,0.042
부산광역시 부산진구,0.042
충청남도 논산시,0.042
경상북도 김천시,0.042
전라남도 순천시,0.041
경상북도 상주시,0.04
충청남도 홍성군,0.04
강원특별자치도 양양군,0.04
경상남도 양산시,0.04
인천광역시 강화군,0.039
경상북도 문경시,0.039
충청남도 보령시,0.038
충청남도 태안군,0.038
강원특별자치도 정선군,0.037
강원특별자치도 화천군,0.036
전라남도 나주시,0.035
인천광역시 남구,0.035
부산광역시 남구,0.034
강원특별자치도 태백시,0.034
충청남도 예산군,0.033
울산광역시 울주군,0.033
경상남도 창원시 의창구,0.032
강원특별자치도 고성군,0.032
경상남도 창원시 성산구,0.032
충청북도 괴산군,0.032
충청북도 증평군,0.031
부산광역시 금정구,0.031
부산광역시 동래구,0.031
부산광역시 사하구,0.031
부산광역시 북구,0.03
광주광역시 남구,0.03
충청남도 공주시,0.03
강원특별자치도 영월군,0.03
강원특별자치도 양구군,0.029
전북특별자치도 완주군,0.027
부산광역시 수영구,0.027
울산광역시 중구,0.027
경상북도 예천군,0.027
경상북도 울진군,0.026
울산광역시 북구,0.025
대구광역시 남구,0.025
인천광역시 동구,0.024
전라남도 광양시,0.024
부산광역시 기장군,0.024
충청남도 부여군,0.024
충청북도 단양군,0.024
부산광역시 강서구,0.023
경상남도 창원시 마산회원구,0.023
부산광역시 연제구,0.023
경상남도 창원시 진해구,0.023
전북특별자치도 정읍시,0.022
광주광역시 동구,0.022
경상남도 창원시 마산합포구,0.022
충청남도 계룡시,0.021
대구광역시 서구,0.021
경상북도 칠곡군,0.02
충청북도 옥천군,0.02
전북특별자치도 남원시,0.02
대구광역시 중구,0.019
경상남도 사천시,0.019
울산광역시 동구,0.019
부산광역시 사상구,0.019
전라남도 무안군,0.017
경상남도 통영시,0.017
충청남도 서천군,0.016
충청남도 금산군,0.016
경상북도 영천시,0.015
충청북도 영동군,0.015
전라남도 장성군,0.015
경상남도 밀양시,0.015
충청북도 보은군,0.015
경상북도 봉화군,0.014
전북특별자치도 김제시,0.014
전라남도 영암군,0.013
전북특별자치도 고창군,0.013
인천광역시 옹진군,0.013
경상남도 거창군,0.013
전라남도 완도군,0.013
전북특별자치도 부안군,0.012
경상북도 의성군,0.012
전라남도 해남군,0.011
전라남도 영광군,0.011
전라남도 고흥군,0.011
부산광역시 영도구,0.011
부산광역시 서구,0.011
경상북도 영덕군,0.01
충청남도 청양군,0.01
경상남도 함안군,0.01
전라남도 화순군,0.01
전라남도 담양군,0.01
부산광역시 동구,0.01
경상남도 함양군,0.009
경상남도 창녕군,0.008
전라남도 장흥군,0.008
전북특별자치도 무주군,0.008
경상북도 청송군,0.008
경상남도 남해군,0.008
전라남도 보성군,0.007
경상북도 성주군,0.007
전라남도 진도군,0.007
전라남도 강진군,0.007
전라남도 신안군,0.007
전라남도 구례군,0.006
경상남도 고성군,0.006
경상북도 영양군,0.006
부산광역시 중구,0.006
경상남도 합천군,0.006
경상북도 청도군,0.006
전라남도 함평군,0.006
경상남도 하동군,0.006
경상남도 산청군,0.006
전라남도 곡성군,0.005
전북특별자치도 임실군,0.005
전북특별자치도 진안군,0.005
전북특별자치도 순창군,0.004
전북특별자치도 장수군,0.004
대구광역시 군위군,0.004
경상북도 고령군,0.004
경상남도 의령군,0.003
경상북도 울릉군,0.002
